name,abbr,status,capital,area_km2,pop_1977,pop_1992,pop_2002,pop_2011,pop_2021,pop_2025
Alba,ALB,Cnty,Alba Iulia,6242,409634,413919,382747,342376,325941,325106
Arad,ARA,Cnty,Arad,7754,512020,487617,461791,430629,410143,410085
Arges,ARG,Cnty,Pitești,6826,631918,681206,652625,612431,569932,561648
Bacau,BAC,Cnty,Bacău,6621,667791,737512,706623,616168,601387,591892
Bihor,BIH,Cnty,Oradea,7544,633094,638863,600246,575398,551297,556606
Bistrita-Nasaud,BIS,Cnty,Bistrița,5355,286628,326820,311657,286225,295988,297117
Botosani,BOT,Cnty,Botoșani,4986,451217,461305,452834,412626,392821,388177
Braila,BRA,Cnty,Brăila,4766,377954,392031,373174,321212,281452,271487
Brasov,BRS,Cnty,Brașov,5363,582863,643261,589028,549217,546615,560030
Bucharest,BUC,City,București,238,1807239,2067545,1926334,1883425,1716961,1709458
Buzau,BUZ,Cnty,Buzău,6103,508424,516961,496214,451069,404979,395270
Calarasi,CAL,Cnty,Călărași,5088,338807,338804,324617,306691,283458,278450
Caras-Severin,CAR,Cnty,Reșița,8520,385577,376347,333219,295579,246588,242118
Cluj,CLU,Cnty,Cluj-Napoca,6674,715507,736301,702755,691106,679141,697030
Constanta,CON,Cnty,Constanța,7071,608817,748769,715151,684082,655997,655716
Covasna,COV,Cnty,Sfântu Gheorghe,3710,199017,233256,222449,210177,200042,199471
DÃ¢mbovita,DAM,Cnty,Târgoviște,4054,527620,562041,541763,518745,479404,476228
Dolj,DOL,Cnty,Craiova,7414,750328,762142,734231,660544,599442,594913
Galati,GAL,Cnty,Galați,4466,581561,641011,619556,536167,496892,489171
Giurgiu,GIU,Cnty,Giurgiu,3526,327494,313352,297859,281422,262066,261027
Gorj,GOR,Cnty,Târgu Jiu,5602,348521,401021,387308,341594,314685,307494
Harghita,HAR,Cnty,Miercurea Ciuc,6639,326310,348335,326222,310867,291950,291698
Hunedoara,HUN,Cnty,Deva,7063,514436,547950,485712,418565,361657,351110
Ialomita,IAL,Cnty,Slobozia,4453,295965,306145,296572,274148,250816,248726
Iasi,IAS,Cnty,Iași,5476,729243,811342,816910,772348,760774,780364
Ilfov,ILF,Cnty,București,1583,287738,286965,300123,388738,542704,604061
Maramures,MAR,Cnty,Baia Mare,6304,492860,540099,510110,478659,452475,450711
Mehedinti,MEH,Cnty,Drobeta-Turnu Severin,4933,322371,332673,306732,265390,234339,229062
Mures,MUR,Cnty,Târgu Mureș,6714,605345,610053,580851,550846,518193,519241
Neamt,NEA,Cnty,Piatra Neamț,5896,532096,578420,554516,470766,454203,445585
Olt,OLT,Cnty,Slatina,5498,518804,523291,489274,436400,383280,375408
Prahova,PRA,Cnty,Ploiești,4716,817168,874349,829945,762886,695119,685137
Salaj,SAL,Cnty,Zalău,3864,264569,266797,248015,224384,212224,211033
Satu Mare,SAT,Cnty,Satu Mare,4418,393840,400789,367281,344360,330668,330296
Sibiu,SIB,Cnty,Sibiu,5432,481645,452873,421724,397322,388326,394691
Suceava,SUC,Cnty,Suceava,8554,633899,701830,688435,634810,642551,645878
Teleorman,TEL,Cnty,Alexandria,5790,518943,483840,436025,380123,323544,312852
Timis,TIM,Cnty,Timișoara,8697,696884,700033,677926,683540,650533,667042
Tulcea,TUL,Cnty,Tulcea,8499,254531,270997,256492,213083,193355,187477
VÃ¢lcea,VAL,Cnty,Râmnicu Vâlcea,5765,414241,438388,413247,371714,341861,340027
Vaslui,VAS,Cnty,Vaslui,5318,437251,461374,455049,395499,374700,366093
Vrancea,VRA,Cnty,Focșani,4857,369740,393408,387632,340310,335312,331045
